# 相同theta值(100.0度)下不同能量的sigma数据
# 列1: 能量 (Energy)
# 列2: sigma值
# Energy	sigma
0.1	1.0
0.145	1.0
0.19	0.9999
0.235	0.9997
0.28	0.9993
0.325	0.9986
0.37	0.9974
0.415	0.9956
0.46	0.9933
0.505	0.9903
0.55	0.9866
0.595	0.9821
0.64	0.9769
0.685	0.9709
0.73	0.9642
0.775	0.9567
0.82	0.9485
0.865	0.9396
0.91	0.9301
0.955	0.92
1.0	0.9093
1.06	0.8943
1.12	0.8785
1.18	0.8621
1.24	0.8451
1.3	0.8277
1.36	0.81
1.42	0.7922
1.48	0.7743
1.54	0.7564
1.6	0.7387
1.66	0.7212
1.72	0.7041
1.78	0.6873
1.84	0.671
1.9	0.6552
1.96	0.6401
2.02	0.6256
2.08	0.6117
2.14	0.5986
2.2	0.5863
2.26	0.5747
2.32	0.5639
2.38	0.554
2.44	0.5449
2.5	0.5367
2.56	0.5293
2.62	0.5228
2.68	0.5172
2.74	0.5124
2.8	0.5085
2.86	0.5054
2.92	0.5032
2.98	0.5018
3.04	0.5013
3.1	0.5015
3.16	0.5026
3.22	0.5044
3.28	0.5071
3.34	0.5104
3.4	0.5147
3.46	0.5196
3.52	0.5251
3.58	0.5313
3.64	0.5382
3.7	0.5458
3.76	0.5539
3.82	0.5627
3.88	0.5721
3.94	0.582
4.0	0.5926
